altitude_km,temperature_K,density_kgpm3
67.37,217.87832120395316,0.00014367470411274822
67.38,217.8333405843684,0.00014348387650538893
67.39,217.78836010435515,0.0001432932636151249
67.4,217.7433797639129,0.00014310286524384406
67.41,217.69839956304094,0.00014291268119357657
67.42,217.6534195017386,0.000142722711266496
67.43,217.6084395800053,0.00014253295526491826
67.44,217.5634597978403,0.00014234341299130176
67.45,217.51848015524294,0.00014215408424824761
67.46000000000001,217.4735006522127,0.00014196496883849975
67.47,217.42852128874887,0.00014177606656494426
67.48,217.38354206485067,0.0001415873772306085
67.49,217.33856298051762,0.00014139890063866406
67.5,217.29358403574906,0.00014121063659242343
67.51,217.24860523054429,0.00014102258489534115
67.52,217.2036265649026,0.00014083474535101404
67.53,217.1586480388235,0.00014064711776318138
67.54,217.11366965230619,0.00014045970193572336
67.55,217.06869140535002,0.0001402724976726623
67.56,217.02371329795446,0.00014008550477816298
67.57000000000002,216.97873533011875,0.00013989872305653067
67.58,216.9337575018424,0.00013971215231221339
67.59,216.8887798131246,0.00013952579234979953
67.6,216.84380226396465,0.00013933964297401923
67.61,216.79882485436212,0.0001391537039897451
67.62,216.75384758431613,0.00013896797520198908
67.63,216.70887045382625,0.00013878245641590634
67.64,216.66389346289168,0.00013859714743679141
67.65,216.61891661151176,0.00013841204807008085
67.66,216.5739398996859,0.00013822715812135232
67.67,216.5289633274135,0.00013804247739632378
67.68,216.4839868946938,0.00013785800570085462
67.69,216.4390106015262,0.00013767374284094435
67.7,216.39403444791012,0.0001374896886227341
67.71000000000001,216.3490584338448,0.00013730584285250456
67.72,216.3040825593297,0.00013712220533667783
67.73,216.25910682436398,0.00013693877588181544
67.74,216.21413122894717,0.0001367555542946207
67.75,216.16915577307861,0.00013657254038193633
67.76,216.12418045675759,0.00013638973395074553
67.77,216.07920527998346,0.00013620713480817122
67.78,216.03423024275554,0.00013602474276147719
67.79,215.98925534507325,0.0001358425576180668
67.8,215.94428058693592,0.00013566057918548358
67.81,215.89930596834296,0.00013547880727141114
67.82000000000002,215.8543314892936,0.00013529724168367195
67.83,215.80935714978725,0.00013511588223022905
67.84,215.7643829498233,0.00013493472871918533
67.85,215.719408889401,0.00013475378095878225
67.86,215.67443496851985,0.00013457303875740224
67.87,215.62946118717903,0.00013439250192356545
67.88,215.584487545378,0.00013421217026593284
67.89,215.53951404311613,0.00013403204359330404
67.9,215.49454068039267,0.0001338521217146178
67.91,215.44956745720702,0.00013367240443895232
67.92,215.40459437355855,0.0001334928915755248
67.93,215.35962142944658,0.00013331358293369128
67.94,215.31464862487047,0.00013313447832294687
67.95,215.26967595982967,0.00013295557755292584
67.96000000000001,215.22470343432326,0.00013277688043340004
67.97,215.17973104835096,0.00013259838677428206
67.98,215.13475880191186,0.00013242009638562104
67.99,215.08978669500533,0.00013224200907760585
68.0,215.0448147276308,0.00013206412466056368
68.01,214.99984289978758,0.00013188644294495996
68.02,214.95487121147505,0.00013170896374139885
68.03,214.9098996626925,0.00013153168686062206
68.04,214.86492825343936,0.0001313546121135101
68.05,214.81995698371497,0.0001311777393110818
68.06,214.77498585351864,0.00013100106826449313
68.07000000000002,214.7300148628497,0.00013082459878503878
68.08,214.68504401170756,0.00013064833068415115
68.09,214.64007330009156,0.00013047226377340063
68.1,214.595102728001,0.0001302963978644948
68.11,214.55013229543528,0.00013012073276927991
68.12,214.50516200239377,0.00012994526829973897
68.13,214.4601918488757,0.00012977000426799232
68.14,214.41522183488064,0.00012959494048629945
68.15,214.37025196040776,0.00012942007676705508
68.16,214.32528222545636,0.0001292454129227922
68.17,214.28031263002595,0.00012907094876618162
68.18,214.23534317411588,0.00012889668411003084
68.19,214.19037385772543,0.00012872261876728405
68.2,214.1454046808539,0.00012854875255102275
68.21000000000001,214.1004356435007,0.00012837508527446595
68.22,214.05546674566526,0.0001282016167509689
68.23,214.01049798734684,0.00012802834679402386
68.24,213.96552936854476,0.00012785527521725983
68.25,213.92056088925847,0.0001276824018344425
68.26,213.87559254948724,0.00012750972645947408
68.27,213.83062434923045,0.00012733724890639356
68.28,213.78565628848744,0.00012716496898937602
68.29,213.74068836725758,0.0001269928865227332
68.3,213.69572058554024,0.00012682100132091324
68.31,213.65075294333468,0.00012664931319849971
68.32000000000002,213.60578544064032,0.00012647782197021358
68.33,213.56081807745653,0.0001263065274509112
68.34,213.51585085378267,0.00012613542945558504
68.35000000000001,213.47088376961796,0.00012596452779936308
68.36,213.42591682496194,0.00012579382229751035
68.37,213.38095001981384,0.00012562331276542643
68.38,213.335983354173,0.00012545299901864737
68.39,213.29101682803883,0.00012528288087284444
68.4,213.24605044141063,0.00012511295814382492
68.41,213.20108419428783,0.0001249432306475316
68.42,213.15611808666966,0.00012477369820004198
68.43,213.1111521185556,0.00012460436061756988
68.44,213.066186289945,0.00012443521771646435
68.45,213.021220600837,0.00012426626931320836
68.46000000000001,212.97625505123113,0.00012409751522442155
68.47,212.93128964112685,0.00012392895526685865
68.48,212.88632437052328,0.000123760589257408
68.49,212.84135923941983,0.00012359241701309396
68.5,212.796394247816,0.0001234244383510762
68.51,212.75142939571094,0.0001232566530886474
68.52,212.70646468310412,0.0001230890610432369
68.53,212.6615001099948,0.00012292166203240737
68.54,212.61653567638243,0.00012275445587385715
68.55,212.57157138226637,0.00012258744238541835
68.56,212.52660722764585,0.00012242062138505727
68.57000000000002,212.48164321252028,0.00012225399269087518
68.58,212.43667933688909,0.00012208755612110782
68.59,212.39171560075152,0.00012192131149412439
68.60000000000001,212.34675200410697,0.00012175525862842882
68.61,212.3017885469548,0.00012158939734265892
68.62,212.25682522929435,0.00012142372745558647
68.63,212.21186205112494,0.00012125824878611725
68.64,212.166899012446,0.00012109296115329117
68.65,212.12193611325677,0.00012092786437628107
68.66,212.0769733535567,0.00012076295827439478
68.67,212.03201073334506,0.00012059824266707265
68.68,211.98704825262132,0.00012043371737388941
68.69,211.94208591138465,0.00012026938221455254
68.7,211.89712370963454,0.00012010523700890364
68.71000000000001,211.8521616473703,0.0001199412815769174
68.72,211.80719972459138,0.00011977751573870226
68.73,211.76223794129692,0.00011961393931449845
68.74,211.7172762974864,0.00011945055212468102
68.75,211.67231479315922,0.00011928735398975752
68.76,211.62735342831462,0.000119124344730368
68.77,211.582392202952,0.00011896152416728621
68.78,211.53743111707072,0.00011879889212141812
68.79,211.49247017067012,0.000118636448413803
68.8,211.4475093637496,0.00011847419286561275
68.81,211.40254869630837,0.00011831212529815143
68.82000000000002,211.3575881683459,0.00011815024553285633
68.83,211.3126277798616,0.00011798855339129725
68.84,211.2676675308547,0.00011782704869517588
68.85000000000001,211.22270742132451,0.0001176657312663262
68.86,211.17774745127053,0.00011750460092671559
68.87,211.13278762069206,0.00011734365749844262
68.88,211.08782792958834,0.0001171829008037379
68.89,211.0428683779589,0.00011702233066496543
68.9,210.997908965803,0.00011686194690461976
68.91,210.9529496931199,0.0001167017493453277
68.92,210.90799055990914,0.00011654173780984911
68.93,210.86303156616995,0.00011638191212107399
68.94,210.8180727119017,0.00011622227210202506
68.95,210.77311399710374,0.00011606281757585665
68.96000000000001,210.7281554217754,0.0001159035483658541
68.97,210.68319698591614,0.00011574446429543526
68.98,210.63823868952517,0.0001155855651881482
68.99,210.5932805326019,0.00011542685086767344
69.0,210.54832251514574,0.00011526832115782234
69.01,210.50336463715593,0.0001151099758825373
69.02,210.45840689863184,0.00011495181486589215
69.03,210.4134492995729,0.00011479383793209216
69.04,210.36849183997845,0.00011463604490547304
69.05,210.32353451984778,0.00011447843561050166
69.06,210.27857733918023,0.00011432100987177556
69.07000000000002,210.23362029797522,0.00011416376751402367
69.08,210.18866339623207,0.0001140067083621051
69.09,210.14370663395013,0.00011384983224100991
69.10000000000001,210.09875001112874,0.00011369313897585877
69.11,210.0537935277673,0.00011353662839190288
69.12,210.00883718386513,0.00011338030031452359
69.13,209.9638809794216,0.00011322415456923305
69.14,209.91892491443593,0.00011306819098167334
69.15,209.87396898890768,0.0001129124093776174
69.16,209.82901320283605,0.00011275680958296762
69.17,209.7840575562204,0.0001126013914237569
69.18,209.7391020490602,0.00011244615472614845
69.19,209.69414668135468,0.00011229109931643473
69.2,209.64919145310324,0.00011213622502103875
69.21000000000001,209.60423636430522,0.00011198153166651299
69.22,209.55928141496008,0.00011182701907954011
69.23,209.51432660506697,0.00011167268708693158
69.24,209.46937193462531,0.00011151853551562926
69.25,209.42441740363455,0.00011136456419270464
69.26,209.37946301209388,0.0001112107729453579
69.27,209.3345087600028,0.00011105716160091972
69.28,209.2895546473606,0.0001109037299868492
69.29,209.24460067416663,0.00011075047793073517
69.3,209.19964684042023,0.00011059740526029539
69.31,209.15469314612082,0.00011044451180337716
69.32000000000002,209.1097395912676,0.00011029179738795604
69.33,209.06478617586015,0.00011013926184213791
69.34,209.0198328998976,0.0001099869049941561
69.35000000000001,208.9748797633794,0.00010983472667237367
69.36,208.92992676630493,0.00010968272670528252
69.37,208.88497390867346,0.00010953090492150254
69.38,208.8400211904844,0.0001093792611497831
69.39,208.79506861173707,0.00010922779521900144
69.4,208.75011617243086,0.00010907650695816398
69.41,208.70516387256512,0.00010892539619640497
69.42,208.66021171213913,0.00010877446276298724
69.43,208.6152596911523,0.00010862370648730203
69.44,208.57030780960395,0.00010847312719886864
69.45,208.52535606749353,0.0001083227247273349
69.46000000000001,208.48040446482023,0.00010817249890247595
69.47,208.43545300158354,0.00010802244955419581
69.48,208.39050167778277,0.0001078725765125259
69.49,208.3455504934172,0.00010772287960762543
69.5,208.30059944848625,0.00010757335866978193
69.51,208.25564854298932,0.00010742401352941044
69.52,208.21069777692566,0.0001072748440170535
69.53,208.16574715029464,0.00010712584996338109
69.54,208.1207966630957,0.0001069770311991916
69.55,208.07584631532802,0.00010682838755540961
69.56,208.03089610699112,0.00010667991886308821
69.57000000000002,207.98594603808425,0.00010653162495340705
69.58,207.9409961086069,0.00010638350565767376
69.59,207.89604631855826,0.00010623556080732231
69.60000000000001,207.85109666793767,0.00010608779023391414
69.61,207.80614715674466,0.00010594019376913818
69.62,207.7611977849784,0.0001057927712448096
69.63,207.71624855263835,0.00010564552249287096
69.64,207.67129945972383,0.00010549844734539162
69.65,207.62635050623416,0.00010535154563456734
69.66,207.58140169216875,0.0001052048171927211
69.67,207.53645301752692,0.00010505826185230202
69.68,207.491504482308,0.00010491187944588608
69.69,207.4465560865114,0.00010476566980617585
69.7,207.40160783013636,0.0001046196327659997
69.71000000000001,207.35665971318235,0.00010447376815831335
69.72,207.31171173564866,0.00010432807581619785
69.73,207.2667638975347,0.00010418255557286114
69.74,207.2218161988398,0.00010403720726163707
69.75,207.1768686395632,0.00010389203071598501
69.76,207.13192121970442,0.00010374702576949146
69.77,207.0869739392627,0.00010360219225586797
69.78,207.04202679823743,0.00010345753000895224
69.79,206.997079796628,0.00010331303886270807
69.8,206.9521329344336,0.00010316871865122405
69.81,206.90718621165377,0.00010302456920871573
69.82000000000002,206.8622396282878,0.00010288059036952344
69.83,206.81729318433503,0.00010273678196811324
69.84,206.7723468797948,0.00010259314383907647
69.85000000000001,206.72740071466643,0.00010244967581712991
69.86,206.68245468894946,0.00010230637773711641
69.87,206.63750880264297,0.0001021632494340025
